text,category,date,severity,value_weight,financial_impact,confidence,app_version,upvotes
"Everytime I try to resume watching, whether it's a program I've started on the app or elsewhere it restarts from the beginning without resetting the timebar. if I try and fast forward to where I was, it does the same thing. I've tried clearing the cache, signing out and in and even a clear reinstall but the issue stays. edit - it now just did it about 45 minutes into watching a program. ridiculous",App Crash & Launch Failure,2026-01,2.0,2.5,5.0,0.5006,9.48.0 build 5 63768,1
Not worth the money ! Have to sign in every time . Same email and address for 9 years and now they say I don't even have an account . Try Prime or something else .,Account & Login,2026-01,2.2,0.8,1.76,0.4103,,0
"They keep removing THE GOOD SHOWS, REMOVE THE BAD SHOWS!",General App Feedback,2026-01,3.2,0.8,2.56,0.2948,9.47.0 build 2 63732,0
"is the message I am seeing when I open Netflix telling me my device isn't part of the Netflix household for this account , options are I can create a account, sign out, or copy a link. that is on the message. or I can have a code sent so I can watch temporarily.its the same phone I had when we first got Netflix through our phone service, not the first time seeing this message it comes and goes. not sure what to do, I took a screenshot of the message if needed.thank you.",Account & Login,2026-01,2.0,4.0,8.0,0.3019,9.47.0 build 2 63732,0
so expensive but update show shoulder be faster,General App Feedback,2026-01,2.0,1.0,2.0,0.2464,8.142.1 build 13 51334,0
Don't waste your time to subscribe. Most new release all 90% indonesia movies. nothing much to watch.,General App Feedback,2025-12,2.0,4.0,8.0,0.2678,8.143.4 build 18 52208,0
"When I am watching something, the screen will go black & jump to another program. I get my program back & then it does it again continuously through the show. Please fix that or I will have cancel my subscription. Thanks for your help. Dianne Nussbaum",Video & Streaming Playback,2025-12,2.5,1.0,2.5,0.4181,9.38.0 build 5 63520,0
Ads Ads Ads. want to know how to ruin a stand up comedy routine? Place Ads after every punchline! You made a master of comedy damn near unwatchable.,General App Feedback,2025-12,2.2,1.0,2.2,0.1596,9.46.1 build 6 63728,0
"Strangely got rid of a huge amount of their content. Probably to make room for the massive rush of Indian movies and WWE content. Sad. Also, it's a widely known fact that Netflix has massive sound issues. They constantly blame the consumer, even though many people with many different set ups and tvs have the same issues.",Content & Features,2025-12,2.0,2.5,5.0,0.3244,9.47.0 build 2 63732,0
Netflix is very stupid I'm trying to set an account you're telling me to set up my Google something I already did since before getting my phone now I can't get an account on Netflix so I cannot watch my movie so netflixis a very stupid up,Account & Login,2025-12,2.0,1.0,2.0,0.3477,9.47.0 build 2 63732,0
"selection leads to frequent accidental clicks and unintended charges. Timing on Billing Date: This prompt frequently appears on or near my billing date, making the resulting price increase difficult to spot on my bank statement. As a paying customer, I expect a transparent interface that does not prioritize accidental revenue over user experience. I request that you change the default button to a neutral ""Not Now"" or ""Verify Location"" option to prevent these unauthorized charges.",Subscription & Billing,2025-12,3.5,2.5,8.75,0.4039,9.47.0 build 2 63732,0
"I subscribed to these apps properly, but every time I watch, the videos I downloaded keep loading and don't work. What happened to NETFLIX today?",Video & Streaming Playback,2025-12,2.0,2.5,5.0,0.4716,9.47.0 build 2 63732,0
I don't understand why movies in languages other than English are not in a separate category. Give users the option to set language preferences and only show English! I don't want dubbed movies or captions I have to read in order to understand them. I might as well read a book. and many commercials are too loud and jarring while the show has loud background sounds and low voices,General App Feedback,2025-12,2.2,0.8,1.76,0.2288,,1
Cancels everything that is good and expects people to be fine with it. Cancelling Boots was so dumb. Why should people bother watching originals when they can't depend on renewals even when it's successful?,Subscription & Billing,2025-12,2.0,2.5,5.0,0.3301,9.46.1 build 6 63728,1
Netflix has decided to remove shows that are still being watched very frequently. yet miraculous is still on Netflix for some reason. and some of these shows are Netflix originals..so where are they going after they get removed..,Content & Features,2025-12,2.0,0.8,1.6,0.3328,,0
horrible they gettibg rid of my fav movie after being up for 4 months. they get rid of all good movies snd shows for.the worst thungs. plesse stop.,General App Feedback,2025-12,3.5,2.5,8.75,0.2491,9.46.1 build 6 63728,0
I can't uninstall this despite not wanting a netflix account ever again. I refuse to pay for awful shows.,Subscription & Billing,2025-12,2.0,1.0,2.0,0.3683,,0
"New seasons missing from Continue Watching. Better keep a notepad and pen handy to keep track of series you dont want to miss when the latest season becomes available. Customer Support was useless, signed out all my devices AGAINST MY WISH (i said no!) and didnt fix anything. Its so bad they dont even bother with surveys.",Customer Support,2025-12,2.7,2.5,6.75,0.3085,9.45.0 build 3 63700,0
"Bakwaas App, Highly charged than worth. See.. no one cares to respond. Older review: Waste app. Don't use. Use other OTT apps.",Subscription & Billing,2025-12,3.5,1.0,3.5,0.3247,9.45.0 build 3 63700,0
"Netflix always lie to their customers during sign up,they tell you couple of ads for certain price but ive been swamped with ads, sometimes over 20 ads in a 65 minutes shows, VERY DISAPPOINTED AND FRUSTRATED 😡",Subscription & Billing,2025-12,2.0,1.0,2.0,0.357,8.93.1 build 4 50540,1
"why can't I see the screen, but only hear the audio, and see the subtitles.",Video & Streaming Playback,2025-12,2.0,4.0,8.0,0.3687,8.109.0 build 7 50647,0
the new layout is awful. please go back to the last one. it's so hard to find anything to watch now!!,UI & Navigation,2025-12,2.4,2.5,6.0,0.399,9.45.0 build 3 63700,0
my Netflix always loading and even after I update it stay that way,Video & Streaming Playback,2025-12,2.0,2.5,5.0,0.4623,9.45.0 build 3 63700,0
Awesome Been a user for 4 years and counting more to come especially for the Netflix associated AAA games that have been released recently. please don't skyrocket the price or include ads like other otts. The only platform still remains ads free for a nominal fee. Hope you guys will be the same for years to come. Hey do release RDR 2 as well hope you guys have them in your bucket list.😁,Subscription & Billing,2025-12,2.0,2.5,5.0,0.3068,9.45.0 build 3 63700,0
I take subscription of 150 rupee. but netflix charge 199. so i dont like this app,Subscription & Billing,2025-11,2.0,5.0,10.0,0.4031,9.43.2 build 11 63680,0
"terrible, for as much money as this company makes, there shouldn't be issues with your servers when new things come out. I will be canceling my subscription. ✌️",Subscription & Billing,2025-11,2.0,0.8,1.6,0.3869,8.113.2 build 27 50674,0
"It is the best platform ever. The web series are best. It's a suggestion, please add a payment method using the Google Play. This would be more easier to purchase the Netflix subscription. And there will be increase in the people purchasing the Netflix subscription. Thank you, i am waiting for reply on the particular topic.☺️",General App Feedback,2025-11,2.0,2.5,5.0,0.2963,,0
Down when needed to watch new episodes of Stranger things. I wish it had a 0 star option,General App Feedback,2025-11,2.0,1.0,2.0,0.2767,9.43.2 build 11 63680,0
"I have other many streaming platforms but netflix is my favourite because of its large number of contents and also for shows and movies that are only on Netflix ""Stranger Things"" is my favourite and example of shows only available on Netflix and it is easy to use and but the only problem is Netflix doesn't have shows like ""Game of thrones"" and ""prison break"" that are such a large shows globally and many shows are in their official language but not in another languages that makes easy to watch",General App Feedback,2025-11,2.0,4.0,8.0,0.2268,,0
while I do love netflix since I was 7. netflix has changed. and I do not like it. if it wasn't for stranger things or good shows on it I would put it at 1 star. the subscription stuff all seem to be burglary aswell.,General App Feedback,2025-11,2.0,2.5,5.0,0.2479,9.43.2 build 11 63680,0
"This app shows pending even after the payment is complete and I have not received the membership and there is no option for refund also, this is very frustrating.",Subscription & Billing,2025-11,3.5,0.8,2.8,0.5182,,0
I only use this to watch wwe and mostly on my phone. it constantly skips and constantly returns to the beginning of the programme. I end up wasting so much time trying to get it to play the right bit. and then i have to finish it on a TV. have complained and as usual. Big corporate business gives no care of the single customer. so as much as I love wwe. to hell with paying for this horrendous product anymore. I'll just watch highlights on YouTube. cancelled my subscription 👍👋 0 stars,Video & Streaming Playback,2025-11,2.0,1.0,2.0,0.4351,9.34.0 build 6 63420,7
Very high price and not worth the money.,General App Feedback,2025-11,2.0,1.0,2.0,0.2315,9.43.2 build 11 63680,0
would give 5 stars but u guys bring alot of movie very late I mean try bringing movie fast,General App Feedback,2025-11,2.0,4.0,8.0,0.232,9.42.0 build 8 63616,0
"now it won't work on my TABLET. When I first got it it was fine, now it won't load and says device error. REALLY pissing me off",App Crash & Launch Failure,2025-11,2.0,1.0,2.0,0.3793,9.43.2 build 11 63680,0
My netflix isn't working nothing is shown downloading isn't working online videos are not working what is wrong.? It's happening from past 3 days.. Can you please fix it.? Still waiting duh.?,Video & Streaming Playback,2025-11,2.5,2.5,6.25,0.5014,9.43.0 build 7 63648,0
"I've been having language selection issues for a while now. The issue hasn't been resolved.After I fix it, it breaks again after a while.I want to view my profile in Turkish or English. But for a while automatically displayed in Arabic language",General App Feedback,2025-11,2.5,4.0,10.0,0.2199,9.42.0 build 8 63616,0
"every time I try to watch its stuck on ""loading...""",Video & Streaming Playback,2025-11,2.5,5.0,12.5,0.4925,9.42.0 build 8 63616,0
"it's an ok app for streaming movies, but most times, I cant watch anything cos whenever I click on a movie. All I get is a dark screen and nothing playing",Video & Streaming Playback,2025-11,2.0,2.5,5.0,0.5181,9.42.0 build 8 63616,0
"it's pointless to get this app for the phone! you can't even see anything the screen goes black, but you can hear everything!",General App Feedback,2025-11,2.4,2.5,6.0,0.2489,9.42.0 build 8 63616,0
it's not that bad but not that good cuz sum movie that I wanted to watch wasn't there so....,General App Feedback,2025-11,2.5,1.0,2.5,0.1478,9.40.0 build 7 63544,0
if you play games with Netflix and there is a problem with the game they will not fix it. this app is fine if you just want movies though.,Video & Streaming Playback,2025-11,2.5,1.0,2.5,0.3545,9.41.0 build 8 63576,0
useless netflix I already paid for my membership but it shows payment pending and asks me to pay again,Subscription & Billing,2025-11,3.5,1.0,3.5,0.5818,9.40.0 build 7 63544,0
payment failed and they didn't give subscriptions,Subscription & Billing,2025-11,2.0,1.0,2.0,0.6293,,0
"for as much as I pay, I should be able to watch it on my phone! yes I did all of the indicated troubleshooting and no it's not my internet! can't even get on their website!!",Video & Streaming Playback,2025-10,2.6,1.0,2.6,0.4417,9.39.1 build 7 63532,0
downloaded stuff to watch on the plane. less than twelve hours later the app had signed me out while i was in the air.,Download & Offline,2025-10,2.0,1.0,2.0,0.32,9.39.1 build 7 63532,0
and very limited movies,General App Feedback,2025-10,2.0,1.0,2.0,0.2489,8.142.1 build 13 51334,0
Smart download is not working properly. The next 2-3 episodes should be downloaded before finishing the current episode but now it starts to download the next episode when it gets started watching.,Download & Offline,2025-10,2.0,1.0,2.0,0.4274,9.39.1 build 7 63532,0
Don't watch Netflix at all,General App Feedback,2025-10,2.0,1.0,2.0,0.2426,9.39.1 build 7 63532,0
"always auto pauses while watching a movie, charging heavy fees yet unable to watch in peace",Video & Streaming Playback,2025-10,2.0,1.0,2.0,0.5075,9.39.1 build 7 63532,0
Tons of good shows and movies to watch. The app runs smoothly even with slower internet.,Performance & Speed,2025-10,2.0,1.0,2.0,0.3723,,0
"Was great until they started banning account sharing. I own two homes but my family in one of the homes can't use my account because it is not on the same network as my personal home. Netflix is getting too greedy, I hope everyone cancels their subscription to stick it to them.",General App Feedback,2025-10,2.0,2.5,5.0,0.2919,8.137.0 build 4 50942,0
"Dear, Netflix please upload all old to new movies in Hindi dubbed please.thank you 🙏🙏",General App Feedback,2025-10,2.0,0.8,1.6,0.2352,9.37.0 build 7 63508,0
"Netflix is great, but something happened recently where if the screen gets minimized, you can't click on it to make it bigger or to fast forward or rewind.",Video & Streaming Playback,2025-10,2.0,1.0,2.0,0.3206,9.37.0 build 7 63508,0
First problem is they do not have a lot of movies that Amazon has that I would like to watch. Second issue is they show disgusting filth on my computer and it is hard to make this trash stop so I can browse for movies that are enjoyable and not for derranged people,General App Feedback,2025-10,3.5,0.8,2.8,0.2844,,0
I already unsubscribed but still took money and automatically subscribed without knowing it,Subscription & Billing,2025-10,2.0,0.8,1.6,0.5995,8.33.0 build 13 50248,0
"if you connect to a wifi extender that's not seen as your own households wifi, and it forces you to receive an error screen every 14 days. there are so many other streaming services that don't have these types of issues, and netflix is starting to become not worth it.",Video & Streaming Playback,2025-10,2.5,1.0,2.5,0.3582,8.125.0 build 3 50761,0
"Subscription has now gone to $29 aud a month, it's not worth it. It's just become a greed game for netflix and I'll be cancelling my Subscription. It shocks me how after many years people have been paying what I think was worth it, now they're just greedy and don't care about their customers. I don't see why we should be making people rich when we're already struggling and they couldn't care less about us. It's a shame. See ya Netflix, thanks for the not so much good experience.",Subscription & Billing,2025-10,2.0,1.0,2.0,0.5062,8.140.1 build 14 51170,0
"Went from a good convenience app to an buggy, expensive propaganda machine",General App Feedback,2025-10,2.0,1.0,2.0,0.2622,9.36.0 build 7 63488,0
he netflix your app is facing some issue regarding payment because I pay for subscription your app is very difficult not bad I just saying so please solve my problem,Subscription & Billing,2025-09,2.5,1.0,2.5,0.4901,8.93.1 build 4 50540,0
I only use this to watch wwe and mostly on my phone. it constantly skips and constantly returns to the beginning of the programme. I end up wasting so much time trying to get it to play the right bit. and then i have to finish it on a TV. have complained and as usual. Big corporate business gives no care of the single customer. so as much as I love wwe. to hell with paying for this horrendous product anymore. I'll just watch highlights on YouTube.,Video & Streaming Playback,2025-09,2.0,1.0,2.0,0.45,9.34.0 build 6 63420,0
what is wrong with NETFLIX? I have a subscription. I pay Ever Month. But I am Unable to Even Open the App. It keeps on loading and nothing More. It's been Weeks since I am facing this. NETFLIX need to PAY us BACK.,Subscription & Billing,2025-09,2.0,2.5,5.0,0.4087,,0
"can't fullscreen in 'old' Samsung Dex, app gets stuck on windowed vertical",App Crash & Launch Failure,2025-09,2.5,1.0,2.5,0.4807,9.32.0 build 8 63348,0
"Doesn't sync with the progress made on tv. plays 1:15min long ads as you try to get to where you left off. This is an evil, leech of a company. They restrict how many devices you can view the content you're paying for on, and now they don't even let you CAST on other devices when you try to maintain the integrity of their rules. I am traveling and I can't even cast my account that I pay for on another TV because of the plan tier I am on. Disgusting.",Video & Streaming Playback,2025-09,2.0,4.0,8.0,0.3587,9.33.1 build 3 63388,0
"they charge you even if you cancel. i tried on multiple occasions from my multiple devices to cancel, and even though the message confirms the cancellation, I get charged the next due date. basically, you can never get out!! plus, the offer of movie / series is mostly 5-6 * rating at imdb.",Subscription & Billing,2025-09,3.9,1.0,3.9,0.4194,9.32.0 build 8 63348,1
It doesn't have Hindi dubbing for all shows. There is just 1% hindi dubbing. So it is hard to understand the content even in the era of AI dubbing.,General App Feedback,2025-09,2.0,1.0,2.0,0.1824,,0
stop lagging i get kicked off every time I go on needs to fix bugs please other than that I would also recommend brining movies that people like more and leaving them or have a vote for some movies to stay longer or get more variety thankyou,Video & Streaming Playback,2025-09,2.5,0.8,2.0,0.4606,,0
it's ok at first but due to being a ratings funded business a lot of good shows get cancelled before they even get a chance. People like to see if something is going to have enough seasons to make it worth their while. Why get invested in a story only for it to be cut off before it's concluded. Still better than most streaming apps out there.,General App Feedback,2025-09,2.0,4.0,8.0,0.1852,9.33.1 build 3 63388,0
"I tried to enter Netflix by signing. Then, I realized that it wouldn't use the password I had. I checked my passwords to see if I was doing it wrong but I was doing everything correct. Very hard to use. But honestly, this app is GREAT! I was originally trying to watch The Amazing Digital Circus.",Account & Login,2025-09,2.2,1.0,2.2,0.3731,9.34.0 build 6 63420,0
Would be more if I could see more than 4 shows at a time,General App Feedback,2025-09,2.0,1.0,2.0,0.1326,8.17.0 build 6 40147,0
"I been a customer for a while now and tbh it should been cool, if Netflix can add sports or other new stuff. we pay so much for the same thin every month not cool, but my kid like watching shrek.",Subscription & Billing,2025-09,2.0,1.0,2.0,0.3143,9.32.0 build 8 63348,0
"I love Netflix but I wonder please enlighten me, why is BON APPETIT YOUR MAJESTY is not on your app anymore? I have search high and low and it was supposed to have new episode this Sunday September 07, 2025 but there's none on your list...please return it",Content & Features,2025-09,2.0,4.0,8.0,0.3638,9.29.0 build 8 63220,0
very bad. it needs payment to sign up when I don't even have enough money,Subscription & Billing,2025-09,2.0,1.0,2.0,0.35,9.29.0 build 8 63220,0
the app is messed up it is not showing all the shows that it has and I use the same account for my TV and phone but my TV has shows my phone doesn't fix this fast please,App Crash & Launch Failure,2025-09,2.5,4.0,10.0,0.343,9.32.0 build 8 63348,0
"it obvious that this app is top notch, just that there aren't enough latest movies. there was a time a movie was uploaded as latest whereas have watched the movie years back.... Please make an amendments to that....PEACE OUT✌️❤️",Content & Features,2025-09,2.0,1.0,2.0,0.3232,9.32.0 build 8 63348,0
I'm using the brand new Honor Magic V5. The app keeps showing error or crashing. please fix or I may decide to unsubscribe,App Crash & Launch Failure,2025-09,2.5,1.0,2.5,0.4721,8.55.1 build 8 50347,0
there is no kannada movies on Netflix,General App Feedback,2025-09,2.0,0.8,1.6,0.2642,9.31.0 build 5 63292,0
expensive subscription please 1080 yearly plan,Subscription & Billing,2025-09,2.0,1.0,2.0,0.5656,,0
One of the worst OTT apps I have used. Always getting the error 5.10. Some times am getting the message like am using it in multiple devices. But am using it in one device. Every time I am forced to close and open the app multiple times.,App Crash & Launch Failure,2025-09,3.5,1.0,3.5,0.4716,9.32.0 build 8 63348,0
"consistently doesn't show anything in ultra HD despite us paying for it, almost a scam.",General App Feedback,2025-06,2.0,1.0,2.0,0.2553,9.17.1 build 4 62728,0
New user interface is painfull to use. Just revert to old. Getting ready to cancel subscription,Subscription & Billing,2025-06,2.0,2.5,5.0,0.3835,9.20.0 build 8 62860,1
Most of the English movies on Imdb is not available on Netflix.,Content & Features,2025-06,2.0,1.0,2.0,0.3338,,0
I hate the last update. Is a copy on others apps max for example. Not easy to search the movies or series.,Content & Features,2025-06,2.5,5.0,12.5,0.3604,9.9.1 build 9 62416,0
the interface changes way to often. the interface designers constantly make it worse to navigate. more difficult to see shows that are of interest and constant loads the suggestions with things I'm not interested in. as a company they seem one fiscal quarter away from beginning to show advertisements. I didn't care about Netflix games but I can't remove the many lines of suggestions for them. Netflix is no longer providing for customers at the price point my subscription affords me.,General App Feedback,2025-06,2.0,2.5,5.0,0.2858,9.19.2 build 8 62796,0
the only reason is that it has no ratings on any of any movie or show...not of imdb or their own...so have to google every show just to check ratings,General App Feedback,2025-06,2.0,1.0,2.0,0.2714,8.139.3 build 31 51120,0
most third class app ever I have subscription but when I play the live episode it's shows your device doesn't support live streaming..,Video & Streaming Playback,2025-06,2.0,0.8,1.6,0.3202,9.19.2 build 8 62796,0
"Netflix has been great for 5 years but recently cancelled due to my profile being locked out cheers for the memories, I'm off with Max",General App Feedback,2025-06,2.0,1.0,2.0,0.2402,9.19.2 build 8 62796,0
I cant see movies in this app (free).,Video & Streaming Playback,2025-06,2.0,1.0,2.0,0.3734,9.14.0 build 9 62572,0
Y does the lighting is becoming more poor every month? It's too dark to watch the movies if u r outdoor n u can't even adjust the lighting because it's controlled by Netflix 🙄🙄,Video & Streaming Playback,2025-06,2.5,2.5,6.25,0.3174,9.18.2 build 10 62780,0
very uncomfortable app with high price premium,Subscription & Billing,2025-06,2.0,1.0,2.0,0.4306,,0
"For such a big company with billions in annual revenues, I would have expected a better app. AI recommendations are usually not very good. I wish I could disable in-app games or whole categories of films and series that do not interest me (e.g. horror). It feels like we are force-fed unwanted content, which does not make for a very positive user experience.",Content & Features,2025-06,2.0,0.8,1.6,0.3175,9.18.2 build 10 62780,0
"I'd rather watch paint dry. Hollywood is dead, therefore we must not speak, we must be silent!!",General App Feedback,2025-06,2.4,1.0,2.4,0.1336,,0
No man. I ain't paying 30 bucks for a streaming service. Not with shows keep getting removed. yall keep raising the price and milking us hard. I ain't coming back till yall sort it out and actually be the streaming service for the people.,Subscription & Billing,2025-06,2.0,2.5,5.0,0.3718,8.94.0 build 10 50546,0
pathetic after subscription Netflix isn't working not able to watch a single series or movie It keeps on buffering for 3 days and ruining my subscribtion,Video & Streaming Playback,2025-06,2.0,1.0,2.0,0.483,9.18.2 build 10 62780,0
"No continue watching option is in my user interface, kindly resolve my issue ASAP.",Video & Streaming Playback,2025-06,2.0,1.0,2.0,0.3582,9.18.2 build 10 62780,0
"i wanna play the film but it's just kept on loading, i don't get it, first i thought it's because i haven't update the app, once i do, it just kept on loading, i refresh, i relog, ive checked my interest and it was all fine, but still it doesn't work. ive tried it on my tv, it works, but not on my phone. pls fix this",Video & Streaming Playback,2025-06,2.5,1.0,2.5,0.5351,,0
"Dear Netflix Team, I’ve been facing persistent buffering issues while streaming on Netflix for the past three months, despite having a 300 Mbps Airtel router and being connected to the 5 GHz band. My handset is Motorola G84, and I am located in Gurgaon (122102). Internet connectivity doesn’t seem to be the issue. Kindly address this matter urgently. Thanks,A Concerned User",Video & Streaming Playback,2025-06,2.0,1.0,2.0,0.6137,8.3.0 build 11 40027,1
Bring subscription payments with bharat bill payment system via national payment corporation of india.,Subscription & Billing,2025-06,2.0,2.5,5.0,0.4873,9.17.1 build 4 62728,0
my Netflix has a bug.. please fix it😓,Bugs & Technical Errors,2025-06,2.5,2.5,6.25,0.4421,,0
My Account Is not downloading,Download & Offline,2025-06,2.0,1.0,2.0,0.5497,9.17.1 build 4 62728,0
dear netflix this is my humble request to you please respect indian viewers who like to watch international shows in hindi. you are continuously removing hindi audio from all korean & chinese shows why??? please add on them hindi audio.. otherwise I'll never take it's subscription 😡😡 if you don't want to loose your customers due to language problem so please add it okay,Video & Streaming Playback,2025-06,2.0,1.0,2.0,0.3122,9.17.1 build 4 62728,0
these two days app in mobile keep crash..,App Crash & Launch Failure,2025-06,2.0,1.0,2.0,0.6006,9.17.1 build 4 62728,0
it works for a few days then I have to uninstall and reinstall definitely not worth the price,General App Feedback,2025-06,2.0,1.0,2.0,0.2857,9.17.1 build 4 62728,1
